           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000   -0.000000   -1.570796   -1.698249    0.000000       12.830332       -5.541696    0.000000    0.000000    0.000000    3.474421
    0.000500    0.001737   -1.567846   -1.698249   -0.005205       12.830332       -5.541696    0.000009    0.000000    0.000000    3.474421
    0.001000    0.003474   -1.564896   -1.698249   -0.010409       12.830332       -5.541696    0.000038    0.000000    0.000000    3.474421
    0.001500    0.005212   -1.561946   -1.698249   -0.015614       12.830332       -5.541696    0.000085    0.000000    0.000000    3.474421
    0.002000    0.006949   -1.558995   -1.698249   -0.020819       12.830332       -5.541696    0.000152    0.000000    0.000000    3.474421
    0.002500    0.008686   -1.556045   -1.698249   -0.026024       12.830332       -5.541696    0.000237    0.000000    0.000000    3.474421
    0.003000    0.010423   -1.553095   -1.698249   -0.031228       12.830332       -5.541696    0.000341    0.000000    0.000000    3.474421
    0.003500    0.012160   -1.550145   -1.698249   -0.036433       12.830332       -5.541696    0.000465    0.000000    0.000000    3.474421
    0.004000    0.013896   -1.547195   -1.698249   -0.041638       12.830332       -5.541696    0.000607    0.000000    0.000000    3.474421
    0.004500    0.015633   -1.544244   -1.698249   -0.046842       12.830332       -5.541696    0.000768    0.000000    0.000000    3.474421
    0.005000    0.017370   -1.541294   -1.698249   -0.052047       12.830332       -5.541696    0.000948    0.000000    0.000000    3.474421
    0.005500    0.019106   -1.538344   -1.698249   -0.057252       12.830332       -5.541696    0.001147    0.000000    0.000000    3.474421
    0.006000    0.020842   -1.535394   -1.698198   -0.062457       12.830332       -5.541696    0.001365    0.000000    0.000000    3.474421
    0.006500    0.022578   -1.532444   -1.698093   -0.067663       12.830332       -5.541696    0.001602    0.000000    0.000000    3.474421
    0.007000    0.024314   -1.529494   -1.697985   -0.072868       12.830332       -5.541696    0.001858    0.000000    0.000000    3.474421
    0.007500    0.026050   -1.526544   -1.697874   -0.078073       12.830332       -5.541696    0.002133    0.000001    0.000000    3.474421
    0.008000    0.027785   -1.523595   -1.697758   -0.083276       12.830332       -5.541696    0.002427    0.000001    0.000000    3.474421
    0.008500    0.029520   -1.520645   -1.697637   -0.088479       12.830332       -5.541696    0.002739    0.000001    0.000000    3.474421
    0.009000    0.031255   -1.517696   -1.697511   -0.093681       12.830332       -5.541696    0.003071    0.000001    0.000000    3.474421
    0.009500    0.032990   -1.514748   -1.697380   -0.098882       12.830332       -5.541696    0.003422    0.000002    0.000000    3.474421
    0.010000    0.034724   -1.511799   -1.697242   -0.104082       12.830332       -5.541696    0.003791    0.000002    0.000000    3.474421
    0.010500    0.036458   -1.508851   -1.697098   -0.109281       12.830332       -5.541696    0.004180    0.000002    0.000000    3.474421
    0.011000    0.038192   -1.505903   -1.696949   -0.114480       12.830332       -5.541696    0.004587    0.000003    0.000000    3.474421
    0.011500    0.039925   -1.502955   -1.696792   -0.119677       12.830332       -5.541696    0.005014    0.000003    0.000000    3.474421
    0.012000    0.041658   -1.500007   -1.696630   -0.124873       12.830332       -5.541696    0.005459    0.000004    0.000000    3.474421
    0.012500    0.043391   -1.497060   -1.696461   -0.130068       12.830332       -5.541696    0.005923    0.000005    0.000000    3.474421
    0.013000    0.045123   -1.494113   -1.696286   -0.135263       12.830332       -5.541696    0.006406    0.000006    0.000000    3.474421
    0.013500    0.046855   -1.491166   -1.696104   -0.140456       12.830332       -5.541696    0.006908    0.000006    0.000000    3.474421
    0.014000    0.048587   -1.488220   -1.695916   -0.145647       12.830332       -5.541696    0.007429    0.000007    0.000000    3.474421
    0.014500    0.050318   -1.485274   -1.695721   -0.150838       12.830332       -5.541696    0.007969    0.000009    0.000000    3.474421
    0.015000    0.052048   -1.482328   -1.695519   -0.156027       12.830332       -5.541696    0.008527    0.000010    0.000000    3.474421
    0.015500    0.053779   -1.479383   -1.695311   -0.161215       12.830332       -5.541696    0.009105    0.000011    0.000000    3.474421
    0.016000    0.055508   -1.476438   -1.695096   -0.166402       12.830332       -5.541696    0.009701    0.000013    0.000000    3.474421
    0.016500    0.057237   -1.473494   -1.694875   -0.171587       12.830332       -5.541696    0.010317    0.000014    0.000000    3.474421
    0.017000    0.058966   -1.470549   -1.694647   -0.176771       12.830332       -5.541696    0.010951    0.000016    0.000000    3.474421
    0.017500    0.060694   -1.467606   -1.694412   -0.181954       12.830332       -5.541696    0.011604    0.000018    0.000000    3.474421
    0.018000    0.062422   -1.464662   -1.694170   -0.187135       12.830332       -5.541696    0.012276    0.000020    0.000000    3.474421
