           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -0.850406    0.000000   -18433.766343    10888.912818   -0.000000    0.000000    0.175314    3.909864
    0.009804    0.038325   -1.538046   -0.860236    0.501747   -18438.501415    10762.849896    0.004616    0.000001    0.175314    3.909864
    0.019608    0.076609   -1.504806   -0.874290    0.555857   -18453.622309    10640.446607    0.018458    0.000023    0.175314    3.909864
    0.029412    0.114808   -1.471008   -0.889299    0.590693   -18480.448618    10521.391260    0.041511    0.000118    0.175314    3.909864
    0.039216    0.152876   -1.436616   -0.905302    0.627878   -18520.444518    10405.398805    0.073749    0.000375    0.175314    3.909864
    0.049020    0.190766   -1.401589   -0.922481    0.670570   -18575.299530    10292.215039    0.115136    0.000919    0.175314    3.909864
    0.058824    0.228428   -1.365877   -0.941056    0.720204   -18646.983285    10181.621836    0.165622    0.001911    0.175314    3.909864
    0.068627    0.265808   -1.329423   -0.961278    0.777986   -18737.800130    10073.443771    0.225146    0.003548    0.175314    3.909864
    0.078431    0.302850   -1.292157   -0.983441    0.845159   -18850.448633     9967.556591    0.293633    0.006061    0.175314    3.909864
    0.088235    0.339494   -1.253999   -1.007879    0.923065   -18988.087328     9863.898174    0.370995    0.009718    0.175314    3.909864
    0.098039    0.375677   -1.214855   -1.034974    1.013157   -19154.405986     9762.482797    0.457128    0.014813    0.175314    3.909864
    0.107843    0.411329   -1.174614   -1.065165    1.116960   -19353.699290     9663.419787    0.551914    0.021676    0.175314    3.909864
    0.117647    0.446377   -1.133149   -1.098943    1.235972   -19590.935912     9566.937964    0.655215    0.030661    0.175314    3.909864
    0.127451    0.480740   -1.090312   -1.136853    1.371482   -19871.809628     9473.417662    0.766876    0.042144    0.175314    3.909864
    0.137255    0.514330   -1.045933   -1.179483    1.524238   -20202.748539     9383.432574    0.886722    0.056523    0.175314    3.909864
    0.147059    0.547051   -0.999820   -1.227436    1.693894   -20590.841430     9297.804085    1.014556    0.074209    0.175314    3.909864
    0.156863    0.578796   -0.951758   -1.281281    1.878106   -21043.613849     9217.671042    1.150155    0.095617    0.175314    3.909864
    0.166667    0.609447   -0.901511   -1.341461    2.071138   -21568.547062     9144.577697    1.293271    0.121163    0.175314    3.909864
    0.176471    0.638875   -0.848833   -1.408141    2.261806   -22172.179074     9080.581255    1.443624    0.151248    0.175314    3.909864
    0.186275    0.666934   -0.793478   -1.480967    2.430689   -22858.562819     9028.376893    1.600903    0.186247    0.175314    3.909864
    0.196078    0.693465   -0.735232   -1.558712    2.546787   -23626.804670     8991.430551    1.764759    0.226485    0.175314    3.909864
    0.205882    0.718297   -0.673950   -1.638800    2.564520   -24467.426244     8974.095675    1.934805    0.272221    0.175314    3.909864
    0.215686    0.741248   -0.609622   -1.716749    2.423136   -25357.507082     8981.667228    2.110608    0.323615    0.175314    3.909864
    0.225490    0.762130   -0.542452   -1.785679    2.052271   -26255.167411     9020.295287    2.291693    0.380702    0.175314    3.909864
    0.235294    0.780768   -0.472959   -1.836193    1.388174   -27095.108826     9096.651060    2.477541    0.443357    0.175314    3.909864
    0.245098    0.797008   -0.402060   -1.857076    0.402545   -27788.485675     9217.236526    2.667592    0.511271    0.175314    3.909864
    0.254902    0.810742   -0.331110   -1.837187   -0.862984   -28231.327864     9387.298691    2.861254    0.583953    0.175314    3.909864
    0.264706    0.821930   -0.261841   -1.768453   -2.276462   -28324.099678     9609.485038    3.057917    0.660737    0.175314    3.909864
    0.274510    0.830617   -0.196185   -1.648991   -3.633427   -27999.295715     9882.620057    3.256972    0.740842    0.175314    3.909864
    0.284314    0.836933   -0.135998   -1.484777   -4.718402   -27246.444878    10201.134257    3.457830    0.823440    0.175314    3.909864
    0.294118    0.841093   -0.082765   -1.288677   -5.381037   -26121.195155    10555.538143    3.659945    0.907735    0.175314    3.909864
    0.303922    0.843369   -0.037400   -1.077113   -5.581334   -24732.302981    10933.889298    3.862828    0.993029    0.175314    3.909864
    0.313725    0.844063   -0.000182   -0.866041   -5.381412   -23212.995268    11323.731307    4.066064    1.078758    0.175314    3.909864
    0.323529    0.843484    0.029163   -0.667984   -4.900234   -21690.688089    11713.830362    4.269306    1.164501    0.175314    3.909864
    0.333333    0.841920    0.051298   -0.490880   -4.264506   -20266.406008    12095.261022    4.472286    1.249960    0.175314    3.909864
    0.343137    0.839633    0.067112   -0.338430   -3.577608   -19007.181631    12461.763557    4.674797    1.334946    0.175314    3.909864
    0.352941    0.836847    0.077567   -0.211185   -2.909359   -17948.352683    12809.558457    4.876692    1.419344    0.175314    3.909864
    0.362745    0.833749    0.083606   -0.107738   -2.299143   -17100.723349    13136.879264    5.077876    1.503095    0.175314    3.909864
    0.372549    0.830490    0.086100   -0.025678   -1.764118   -16458.622596    13443.434362    5.278292    1.586179    0.175314    3.909864
    0.382353    0.827192    0.085813    0.037759   -1.307459   -16006.762292    13729.920076    5.477915    1.668601    0.175314    3.909864
    0.392157    0.823947    0.083408    0.085307   -0.924669   -15725.243775    13997.633979    5.676749    1.750381    0.175314    3.909864
    0.401961    0.820825    0.079444    0.119474   -0.607743   -15592.832936    14248.193005    5.874816    1.831552    0.175314    3.909864
    0.411765    0.817876    0.074391    0.142470   -0.347619   -15588.901393    14483.340797    6.072150    1.912154    0.175314    3.909864
    0.421569    0.815136    0.068640    0.156193   -0.135481   -15694.449908    14704.823157    6.268799    1.992230    0.175314    3.909864
    0.431373    0.812623    0.062514    0.162249    0.036637   -15892.550384    14914.311947    6.464814    2.071823    0.175314    3.909864
    0.441176    0.810348    0.056282    0.161990    0.175656   -16168.446071    15113.361683    6.660254    2.150979    0.175314    3.909864
