           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000   -0.000000   -1.570796   -0.858263    0.000000    -1836.192505     1086.156430    0.000000    0.000000    0.175348    3.910203
    0.009804    0.038328   -1.537817   -0.863854    0.342117    -1836.669774     1073.550416    0.004616    0.000001    0.175348    3.910203
    0.019608    0.076615   -1.504490   -0.875469    0.482782    -1838.190490     1061.310426    0.018461    0.000023    0.175348    3.910203
    0.029412    0.114816   -1.470662   -0.889674    0.558030    -1840.883982     1049.405287    0.041518    0.000119    0.175348    3.910203
    0.039216    0.152886   -1.436258   -0.905487    0.613419    -1844.895721     1037.806495    0.073761    0.000376    0.175348    3.910203
    0.049020    0.190777   -1.401220   -0.922719    0.665325    -1850.394471     1026.488630    0.115154    0.000922    0.175348    3.910203
    0.058824    0.228439   -1.365493   -0.941460    0.720400    -1857.577351     1015.429886    0.165647    0.001916    0.175348    3.910203
    0.068627    0.265819   -1.329016   -0.961921    0.781948    -1866.675154     1004.612727    0.225179    0.003556    0.175348    3.910203
    0.078431    0.302861   -1.291717   -0.984379    0.852113    -1877.958257      994.024737    0.293675    0.006074    0.175348    3.910203
    0.088235    0.339503   -1.253513   -1.009166    0.932646    -1891.743195      983.659716    0.371046    0.009736    0.175348    3.910203
    0.098039    0.375682   -1.214308   -1.036666    1.025172    -1908.399798      973.519104    0.457188    0.014840    0.175348    3.910203
    0.107843    0.411329   -1.173991   -1.067318    1.131247    -1928.358569      963.613845    0.551982    0.021714    0.175348    3.910203
    0.117647    0.446370   -1.132430   -1.101610    1.252276    -1952.117588      953.966826    0.655291    0.030712    0.175348    3.910203
    0.127451    0.480722   -1.089476   -1.140079    1.389300    -1980.247586      944.616073    0.766959    0.042214    0.175348    3.910203
    0.137255    0.514298   -1.044959   -1.183290    1.542617    -2013.392776      935.618915    0.886810    0.056617    0.175348    3.910203
    0.147059    0.547001   -0.998685   -1.231801    1.711142    -2052.263300      927.057389    1.014645    0.074332    0.175348    3.910203
    0.156863    0.578722   -0.950442   -1.286106    1.891419    -2097.612532      919.045161    1.150242    0.095776    0.175348    3.910203
    0.166667    0.609344   -0.900000   -1.346524    2.076178    -2150.188530      911.736231    1.293348    0.121365    0.175348    3.910203
    0.176471    0.638735   -0.847125   -1.413033    2.252353    -2210.643683      905.335528    1.443686    0.151499    0.175348    3.910203
    0.186275    0.666749   -0.791592   -1.485025    2.398667    -2279.380390      900.111169    1.600939    0.186550    0.175348    3.910203
    0.196078    0.693229   -0.733216   -1.560966    2.483201    -2356.305992      896.407383    1.764759    0.226842    0.175348    3.910203
    0.205882    0.718003   -0.671897   -1.637981    2.461998    -2440.472832      894.655723    1.934756    0.272627    0.175348    3.910203
    0.215686    0.740894   -0.607676   -1.711427    2.280612    -2529.601393      895.380028    2.110496    0.324058    0.175348    3.910203
    0.225490    0.761720   -0.540811   -1.774605    1.881225    -2619.543481      899.187654    2.291505    0.381159    0.175348    3.910203
    0.235294    0.780313   -0.471857   -1.818863    1.217589    -2703.852905      906.736865    2.477264    0.443796    0.175348    3.910203
    0.245098    0.796528   -0.401725   -1.834367    0.277246    -2773.775488      918.670248    2.667218    0.511660    0.175348    3.910203
    0.254902    0.810268   -0.331703   -1.811735   -0.895393    -2819.054963      935.510557    2.860781    0.584257    0.175348    3.910203
    0.264706    0.821497   -0.263392   -1.744350   -2.188017    -2829.799185      957.531488    3.057352    0.660937    0.175348    3.910203
    0.274510    0.830258   -0.198557   -1.630661   -3.434963    -2799.132166      984.638169    3.256328    0.740935    0.175348    3.910203
    0.284314    0.836676   -0.138901   -1.475461   -4.459708    -2725.659518     1016.306827    3.457128    0.823442    0.175348    3.910203
    0.294118    0.840951   -0.085829   -1.289341   -5.128811    -2614.484101     1051.622377    3.659212    0.907676    0.175348    3.910203
    0.303922    0.843341   -0.040262   -1.086381   -5.389824    -2476.107286     1089.413361    3.862093    0.992945    0.175348    3.910203
    0.313725    0.844137   -0.002565   -0.881043   -5.274929    -2323.722632     1128.438815    4.065352    1.078683    0.175348    3.910203
    0.323529    0.843637    0.027415   -0.685509   -4.874145    -2170.203428     1167.562880    4.268640    1.164458    0.175348    3.910203
    0.333333    0.842127    0.050229   -0.508248   -4.297491    -2025.942763     1205.870148    4.471681    1.249967    0.175348    3.910203
    0.343137    0.839869    0.066676   -0.353863   -3.644625    -1897.964543     1242.709340    4.674263    1.335009    0.175348    3.910203
    0.352941    0.837088    0.077671   -0.223784   -2.989597    -1790.064992     1277.680505    4.876234    1.419463    0.175348    3.910203
    0.362745    0.833977    0.084135   -0.117260   -2.378649    -1703.496294     1310.590911    5.077492    1.503267    0.175348    3.910203
    0.372549    0.830692    0.086937   -0.032288   -1.835201    -1637.778494     1341.401421    5.277977    1.586396    0.175348    3.910203
    0.382353    0.827357    0.086854    0.033691   -1.366917    -1591.407610     1370.176750    5.477662    1.668854    0.175348    3.910203
    0.392157    0.824069    0.084562    0.083339   -0.972035    -1562.379974     1397.045373    5.676548    1.750663    0.175348    3.910203
    0.401961    0.820902    0.080640    0.119173   -0.643965    -1548.538396     1422.170028    5.874655    1.831853    0.175348    3.910203
    0.411765    0.817908    0.075573    0.143446   -0.374232    -1547.778716     1445.727454    6.072020    1.912465    0.175348    3.910203
    0.421569    0.815123    0.069765    0.158111   -0.154138    -1558.159437     1467.895243    6.268688    1.992542    0.175348    3.910203
    0.431373    0.812568    0.063552    0.164834    0.024397    -1577.949616     1488.843787    6.464712    2.072130    0.175348    3.910203
    0.441176    0.810255    0.057211    0.165015    0.168497    -1605.640365     1508.731687    6.660150    2.151274    0.175348    3.910203
    0.450980    0.808183    0.050969    0.159832    0.284267    -1639.936686     1527.703385    6.855060    2.230019    0.175348    3.910203
    0.460784    0.806345    0.045012    0.150264    0.376858    -1679.740086     1545.888176    7.049500    2.308409    0.175348    3.910203
    0.470588    0.804728    0.039493    0.137129    0.450592    -1724.128078     1563.400012    7.243523    2.386484    0.175348    3.910203
    0.480392    0.803311    0.034535    0.121109    0.509101    -1772.333943     1580.337736    7.437182    2.464282    0.175348    3.910203
    0.490196    0.802072    0.030237    0.102765    0.555457    -1823.728454     1596.785500    7.630521    2.541836    0.175348    3.910203
    0.500000    0.800984    0.026680    0.082558    0.592288    -1877.804220     1612.813243    7.823581    2.619175    0.175348    3.910203
    0.509804    0.800016    0.023927    0.060862    0.621870    -1934.162752     1628.477141    8.016394    2.696322    0.175348    3.910203
    0.519608    0.799138    0.022029    0.037970    0.646206    -1992.504001     1643.820007    8.208985    2.773297    0.175348    3.910203
    0.529412    0.798316    0.021028    0.014104    0.667080    -2052.617928     1658.871630    8.401372    2.850112    0.175348    3.910203
    0.539216    0.797514    0.020958   -0.010576    0.686102    -2114.377566     1673.649072    8.593564    2.926771    0.175348    3.910203
    0.549020    0.796697    0.021848   -0.035972    0.704728    -2177.732950     1688.156949    8.785562    3.003276    0.175348    3.910203
    0.558824    0.795827    0.023724   -0.062039    0.724273    -2242.705276     1702.387738    8.977357    3.079616    0.175348    3.910203
    0.568627    0.794865    0.026613   -0.088782    0.745912    -2309.380633     1716.322136    9.168933    3.155777    0.175348    3.910203
    0.578431    0.793773    0.030541   -0.116251    0.770663    -2377.902639     1729.929544    9.360262    3.231736    0.175348    3.910203
    0.588235    0.792510    0.035536   -0.144533    0.799374    -2448.463406     1743.168697    9.551308    3.307460    0.175348    3.910203
    0.598039    0.791035    0.041634   -0.173746    0.832690    -2521.292312     1755.988504    9.742025    3.382908    0.175348    3.910203
    0.607843    0.789305    0.048871   -0.204032    0.871025    -2596.642202     1768.329132    9.932357    3.458031    0.175348    3.910203
    0.617647    0.787275    0.057293   -0.235545    0.914529    -2674.772872     1780.123366   10.122238    3.532768    0.175348    3.910203
    0.627451    0.784899    0.066948   -0.268443    0.963065    -2755.931928     1791.298275   10.311588    3.607051    0.175348    3.910203
    0.637255    0.782129    0.077894   -0.302878    1.016183    -2840.333473     1801.777181   10.500320    3.680798    0.175348    3.910203
    0.647059    0.778916    0.090192   -0.338981    1.073112    -2928.135435     1811.481915   10.688332    3.753917    0.175348    3.910203
    0.656863    0.775206    0.103907   -0.376851    1.132770    -3019.416747     1820.335314   10.875511    3.826304    0.175348    3.910203
    0.666667    0.770945    0.119108   -0.416547    1.193787    -3114.155962     1828.263895   11.061732    3.897843    0.175348    3.910203
    0.676471    0.766076    0.135867   -0.458075    1.254557    -3212.213119     1835.200584   11.246854    3.968406    0.175348    3.910203
    0.686275    0.760540    0.154252   -0.501384    1.313300    -3313.316805     1841.087381   11.430725    4.037850    0.175348    3.910203
