           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796    1.751750    0.000000        4.207549       19.255996    0.000000    0.000000    0.156844    8.110057
    0.009804    0.079249   -1.711966    1.821822   -2.287062        4.660424       16.530664    0.019828   -0.000055    0.156844    8.110057
    0.019608    0.156841   -1.863785    2.015919   -4.198896        6.202300       13.944931    0.078909   -0.000886    0.156844    8.110057
    0.029412    0.230684   -2.035288    2.313724   -5.754968        9.181383       11.468371    0.175918   -0.004484    0.156844    8.110057
    0.039216    0.297885   -2.233907    2.693987   -6.851765       14.045885        9.075409    0.308298   -0.013978    0.156844    8.110057
    0.049020    0.354516   -2.465116    3.127627   -7.264819       21.242448        6.746152    0.471797   -0.032847    0.156844    8.110057
    0.058824    0.395696   -2.731539    3.570881   -6.649963       30.952446        4.464847    0.659945   -0.063151    0.156844    8.110057
    0.068627    0.416263   -3.031496    3.957862   -4.560165       42.688803        2.214893    0.863721   -0.103172    0.156844    8.110057
    0.078431    0.412225   -3.356892    4.191335   -0.487934       55.050177       -0.026186    1.071742   -0.146236    0.156844    8.110057
    0.088235    0.382697   -3.690192    4.127512    6.078957       66.111178       -2.284715    1.271328   -0.183133    0.156844    8.110057
    0.098039    0.331250   -3.999532    3.540496   15.660278       74.426839       -4.583606    1.450444   -0.207642    0.156844    8.110057
    0.107843    0.265252   -4.228674    2.010889   29.175424       79.831742       -6.940917    1.599870   -0.220223    0.156844    8.110057
    0.117647    0.193358   -4.267829   -1.531116   49.724805       83.491622       -9.374006    1.714487   -0.225908    0.156844    8.110057
    0.127451    0.128062   -3.848390  -10.243004   71.118600       87.722995      -11.897879    1.793991   -0.229343    0.156844    8.110057
    0.137255    0.115445   -2.711561  -14.103247  -45.081485       94.333037      -14.488850    1.851109   -0.232366    0.156844    8.110057
    0.147059    0.173675   -2.024418   -3.932471  -55.343143       99.139280      -17.038281    1.921802   -0.235503    0.156844    8.110057
    0.156863    0.247710   -1.920584    0.612465  -31.402124      102.145096      -19.494295    2.026937   -0.239506    0.156844    8.110057
    0.166667    0.320805   -2.048455    2.286689  -12.441310      105.865019      -21.866556    2.169117   -0.247578    0.156844    8.110057
    0.176471    0.387440   -2.243938    2.417272    4.443747      111.787945      -24.169021    2.346384   -0.264856    0.156844    8.110057
    0.186275    0.445053   -2.402624    1.403176   19.376828      120.374266      -26.409017    2.554695   -0.294883    0.156844    8.110057
    0.196078    0.496637   -2.442925   -0.517719   31.281356      131.172235      -28.583922    2.790022   -0.337124    0.156844    8.110057
    0.205882    0.550844   -2.305656   -2.978899   37.482380      143.012446      -30.671982    3.051343   -0.386982    0.156844    8.110057
