           t           r         psi          cs          qs           p         sig           A           V          Q2           R           U           S           x         xcm
    0.000000    0.000000   -1.570796   -0.655309    0.000000   -0.183904    0.140319   -0.000000   -0.000000    0.003512    0.926026    0.024406    3.536142   -1.200437    0.000000
    0.009615    0.033999   -1.548264   -0.670958    0.000000   -0.183988    0.137958    0.003632    0.000001    0.003512    0.926022    0.024406    3.536142   -1.200056   -0.000000
    0.019231    0.067979   -1.525154   -0.688611    0.000000   -0.184259    0.135505    0.014525    0.000011    0.003512    0.926011    0.024406    3.536142   -1.198899   -0.000004
    0.028846    0.101924   -1.501418   -0.707848    0.000000   -0.184741    0.133100    0.032675    0.000057    0.003513    0.925991    0.024406    3.536142   -1.196946   -0.000018
    0.038462    0.135811   -1.476997   -0.728955    0.000000   -0.185464    0.130737    0.058071    0.000183    0.003514    0.925964    0.024406    3.536142   -1.194177   -0.000058
    0.048077    0.169620   -1.451822   -0.752273    0.000000   -0.186461    0.128414    0.090698    0.000451    0.003515    0.925927    0.024406    3.536142   -1.190569   -0.000143
    0.057692    0.203325   -1.425811   -0.778202    0.000000   -0.187772    0.126125    0.130538    0.000943    0.003516    0.925883    0.024406    3.536142   -1.186097   -0.000298
    0.067308    0.236900   -1.398868   -0.807221    0.000000   -0.189445    0.123869    0.177564    0.001765    0.003517    0.925829    0.024406    3.536142   -1.180735   -0.000556
    0.076923    0.270315   -1.370877   -0.839903    0.000000   -0.191537    0.121644    0.231747    0.003040    0.003519    0.925766    0.024406    3.536142   -1.174453   -0.000954
    0.086538    0.303536   -1.341703   -0.876937    0.000000   -0.194117    0.119449    0.293049    0.004918    0.003520    0.925694    0.024406    3.536142   -1.167219   -0.001537
    0.096154    0.336527   -1.311184   -0.919150    0.000000   -0.197267    0.117284    0.361424    0.007572    0.003522    0.925612    0.024406    3.536142   -1.158997   -0.002356
    0.105769    0.369245   -1.279128   -0.967540    0.000000   -0.201088    0.115152    0.436819    0.011200    0.003525    0.925519    0.024406    3.536142   -1.149748   -0.003467
    0.115385    0.401641   -1.245305   -1.023305    0.000000   -0.205702    0.113056    0.519170    0.016028    0.003527    0.925416    0.024406    3.536142   -1.139427   -0.004932
    0.125000    0.433657   -1.209441   -1.087881    0.000000   -0.211257    0.111004    0.608402    0.022310    0.003530    0.925302    0.024406    3.536142   -1.127985   -0.006821
    0.134615    0.465227   -1.171207   -1.162969    0.000000   -0.217929    0.109008    0.704428    0.030332    0.003533    0.925175    0.024406    3.536142   -1.115366   -0.009208
    0.144231    0.496274   -1.130214   -1.250553    0.000000   -0.225933    0.107083    0.807144    0.040410    0.003537    0.925037    0.024406    3.536142   -1.101508   -0.012171
    0.153846    0.526702   -1.085999   -1.352876    0.000000   -0.235522    0.105253    0.916429    0.052893    0.003540    0.924885    0.024406    3.536142   -1.086341   -0.015792
    0.163462    0.556399   -1.038020   -1.472337    0.000000   -0.246990    0.103550    1.032138    0.068161    0.003544    0.924720    0.024406    3.536142   -1.069790   -0.020158
    0.173077    0.585230   -0.985656   -1.611231    0.000000   -0.260662    0.102021    1.154102    0.086627    0.003549    0.924539    0.024406    3.536142   -1.051772   -0.025353
    0.182692    0.613029   -0.928213   -1.771217    0.000000   -0.276876    0.100727    1.282118    0.108721    0.003554    0.924344    0.024406    3.536142   -1.032202   -0.031459
    0.192308    0.639597   -0.864967   -1.952321    0.000000   -0.295923    0.099755    1.415946    0.134886    0.003559    0.924132    0.024406    3.536142   -1.010993   -0.038548
    0.201923    0.664698   -0.795245   -2.151273    0.000000   -0.317947    0.099217    1.555297    0.165548    0.003565    0.923902    0.024406    3.536142   -0.988067   -0.046676
    0.211538    0.688055   -0.718572   -2.359075    0.000000   -0.342761    0.099262    1.699830    0.201079    0.003571    0.923655    0.024406    3.536142   -0.963369   -0.055871
    0.221154    0.709357   -0.634916   -2.558162    0.000000   -0.369582    0.100072    1.849138    0.241743    0.003577    0.923390    0.024406    3.536142   -0.936881   -0.066118
    0.230769    0.728280   -0.545022   -2.720585    0.000000   -0.396715    0.101859    2.002750    0.287618    0.003584    0.923108    0.024406    3.536142   -0.908646   -0.077346
    0.240385    0.744519   -0.450736   -2.810061    0.000000   -0.421362    0.104841    2.160122    0.338530    0.003592    0.922810    0.024406    3.536142   -0.878787   -0.089414
    0.250000    0.757846   -0.355167   -2.790849    0.000000   -0.439837    0.109194    2.320656    0.394002    0.003599    0.922497    0.024406    3.536142   -0.847521   -0.102113
    0.259615    0.768162   -0.262425   -2.642537    0.000000   -0.448468    0.114998    2.483715    0.453278    0.003607    0.922173    0.024406    3.536142   -0.815135   -0.115183
    0.269231    0.775542   -0.176857   -2.372662    0.000000   -0.444986    0.122183    2.648662    0.515419    0.003615    0.921841    0.024406    3.536142   -0.781955   -0.128345
    0.278846    0.780234   -0.102058   -2.016709    0.000000   -0.429622    0.130516    2.814892    0.579458    0.003624    0.921504    0.024406    3.536142   -0.748287   -0.141342
    0.288462    0.782611   -0.040129   -1.624052    0.000000   -0.405104    0.139652    2.981870    0.644543    0.003632    0.921165    0.024406    3.536142   -0.714374   -0.153967
    0.298077    0.783112    0.008486   -1.240077    0.000000   -0.375553    0.149207    3.149147    0.710018    0.003640    0.920825    0.024406    3.536142   -0.680380   -0.166079
    0.307692    0.782175    0.044651   -0.895384    0.000000   -0.345083    0.158834    3.316371    0.775437    0.003649    0.920485    0.024406    3.536142   -0.646393   -0.177591
    0.317308    0.780199    0.069989   -0.604472    0.000000   -0.316862    0.168270    3.483276    0.840523    0.003657    0.920146    0.024406    3.536142   -0.612450   -0.188458
    0.326923    0.777521    0.086398   -0.369878    0.000000   -0.292830    0.177341    3.649680    0.905127    0.003665    0.919807    0.024406    3.536142   -0.578555   -0.198663
    0.336538    0.774411    0.095732   -0.187312    0.000000   -0.273860    0.185958    3.815460    0.969180    0.003674    0.919468    0.024406    3.536142   -0.544696   -0.208206
    0.346154    0.771082    0.099644   -0.049575    0.000000   -0.260080    0.194086    3.980550    1.032660    0.003682    0.919130    0.024406    3.536142   -0.510858   -0.217093
    0.355769    0.767692    0.099523    0.051096    0.000000   -0.251173    0.201735    4.144919    1.095577    0.003690    0.918792    0.024406    3.536142   -0.477026   -0.225337
    0.365385    0.764358    0.096507    0.121888    0.000000   -0.246608    0.208935    4.308568    1.157954    0.003699    0.918453    0.024406    3.536142   -0.443188   -0.232951
    0.375000    0.761162    0.091503    0.168980    0.000000   -0.245782    0.215729    4.471519    1.219824    0.003707    0.918115    0.024406    3.536142   -0.409338   -0.239947
    0.384615    0.758158    0.085226    0.197484    0.000000   -0.248096    0.222166    4.633806    1.281223    0.003715    0.917776    0.024406    3.536142   -0.375469   -0.246338
    0.394231    0.755381    0.078237    0.211544    0.000000   -0.253005    0.228294    4.795476    1.342191    0.003724    0.917437    0.024406    3.536142   -0.341582   -0.252136
    0.403846    0.752847    0.070966    0.214484    0.000000   -0.260025    0.234159    4.956578    1.402765    0.003732    0.917098    0.024406    3.536142   -0.307675   -0.257353
    0.413462    0.750559    0.063747    0.208962    0.000000   -0.268741    0.239803    5.117165    1.462983    0.003740    0.916759    0.024406    3.536142   -0.273751   -0.261997
    0.423077    0.748511    0.056828    0.197100    0.000000   -0.278799    0.245264    5.277289    1.522882    0.003748    0.916420    0.024406    3.536142   -0.239811   -0.266077
    0.432692    0.746691    0.050396    0.180589    0.000000   -0.289905    0.250577    5.437001    1.582495    0.003757    0.916080    0.024406    3.536142   -0.205859   -0.269601
    0.442308    0.745079    0.044585    0.160779    0.000000   -0.301814    0.255769    5.596346    1.641853    0.003765    0.915740    0.024406    3.536142   -0.171895   -0.272575
    0.451923    0.743652    0.039488    0.138742    0.000000   -0.314324    0.260866    5.755366    1.700984    0.003773    0.915401    0.024406    3.536142   -0.137924   -0.275005
    0.461538    0.742385    0.035166    0.115322    0.000000   -0.327271    0.265889    5.914100    1.759913    0.003782    0.915061    0.024406    3.536142   -0.103946   -0.276895
    0.471154    0.741252    0.031654    0.091174    0.000000   -0.340524    0.270855    6.072578    1.818661    0.003790    0.914721    0.024406    3.536142   -0.069964   -0.278250
